Record Length,Analog:14000
Sample Interval,CH:0.0000000500000
Vertical Units,CH1:V CH4:V,,,
Vertical Scale,CH1:+2.000000E-03 CH4:+5.000000E-01,,,
Vertical Offset,CH1:+6.400000E-04 CH4:+2.700000E-01,,,
Horizontal Units,us,,,
Horizontal Scale,50.0000000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMEBX4R2044,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH4
Second,Volt,Volt
-6.100000E-05,-9.600000E-04,-1.990000E+00
-6.095000E-05,-9.600000E-04,-1.990000E+00
-6.090000E-05,-9.600000E-04,-1.970000E+00
-6.085000E-05,-1.040000E-03,-1.970000E+00
-6.080000E-05,-9.600000E-04,-1.990000E+00
-6.075000E-05,-1.120000E-03,-1.990000E+00
-6.070000E-05,-1.040000E-03,-1.990000E+00
-6.065000E-05,-1.120000E-03,-1.990000E+00
-6.060000E-05,-1.040000E-03,-1.990000E+00
-6.055000E-05,-1.040000E-03,-1.970000E+00
-6.050000E-05,-1.120000E-03,-1.990000E+00
-6.045000E-05,-1.040000E-03,-1.990000E+00
-6.040000E-05,-1.040000E-03,-1.990000E+00
-6.035000E-05,-9.600000E-04,-1.990000E+00
-6.030000E-05,-1.040000E-03,-1.970000E+00
-6.025000E-05,-9.600000E-04,-1.990000E+00
-6.020000E-05,-1.040000E-03,-1.990000E+00
-6.015000E-05,-8.799999E-04,-1.990000E+00
-6.010000E-05,-1.040000E-03,-1.990000E+00
-6.005000E-05,-9.600000E-04,-1.990000E+00
-6.000000E-05,-9.600000E-04,-1.990000E+00
-5.995000E-05,-9.600000E-04,-1.990000E+00
-5.990000E-05,-9.600000E-04,-1.970000E+00
-5.985000E-05,-1.040000E-03,-1.990000E+00
-5.980000E-05,-1.040000E-03,-1.990000E+00
-5.975000E-05,-9.600000E-04,-1.970000E+00
-5.970000E-05,-9.600000E-04,-1.970000E+00
-5.965000E-05,-1.040000E-03,-1.970000E+00
-5.960000E-05,-9.600000E-04,-1.990000E+00
-5.955000E-05,-1.040000E-03,-1.990000E+00
-5.950000E-05,-9.600000E-04,-1.970000E+00
-5.945000E-05,-9.600000E-04,-1.990000E+00
-5.940000E-05,-9.600000E-04,-1.990000E+00
-5.935000E-05,-9.600000E-04,-1.990000E+00
-5.930000E-05,-9.600000E-04,-1.970000E+00
-5.925000E-05,-9.600000E-04,-1.990000E+00
-5.920000E-05,-8.799999E-04,-1.990000E+00
-5.915000E-05,-1.040000E-03,-1.990000E+00
-5.910000E-05,-9.600000E-04,-1.970000E+00
-5.905000E-05,-9.600000E-04,-1.990000E+00
-5.900000E-05,-1.040000E-03,-1.990000E+00
-5.895000E-05,-9.600000E-04,-1.990000E+00
-5.890000E-05,-1.040000E-03,-1.990000E+00
-5.885000E-05,-9.600000E-04,-1.990000E+00
-5.880000E-05,-9.600000E-04,-1.970000E+00
-5.875000E-05,-9.600000E-04,-1.970000E+00
-5.870000E-05,-1.040000E-03,-1.990000E+00
-5.865000E-05,-9.600000E-04,-1.970000E+00
-5.860000E-05,-1.040000E-03,-1.990000E+00
-5.855000E-05,-8.799999E-04,-1.990000E+00
-5.850000E-05,-9.600000E-04,-1.990000E+00
-5.845000E-05,-9.600000E-04,-1.970000E+00
-5.840000E-05,-8.799999E-04,-1.990000E+00
-5.835000E-05,-9.600000E-04,-1.970000E+00
-5.830000E-05,-9.600000E-04,-1.990000E+00
-5.825000E-05,-9.600000E-04,-1.970000E+00
-5.820000E-05,-9.600000E-04,-1.990000E+00
-5.815000E-05,-9.600000E-04,-1.990000E+00
-5.810000E-05,-8.799999E-04,-1.970000E+00
-5.805000E-05,-9.600000E-04,-1.970000E+00
-5.800000E-05,-8.799999E-04,-1.990000E+00
-5.795000E-05,-9.600000E-04,-1.990000E+00
-5.790000E-05,-9.600000E-04,-1.970000E+00
-5.785000E-05,-9.600000E-04,-1.970000E+00
-5.780000E-05,-9.600000E-04,-1.990000E+00
-5.775000E-05,-9.600000E-04,-1.990000E+00
-5.770000E-05,-8.799999E-04,-1.990000E+00
-5.765000E-05,-9.600000E-04,-1.990000E+00
-5.760000E-05,-9.600000E-04,-1.990000E+00
-5.755000E-05,-9.600000E-04,-1.990000E+00
-5.750000E-05,-9.600000E-04,-1.990000E+00
-5.745000E-05,-8.799999E-04,-1.970000E+00
-5.740000E-05,-9.600000E-04,-1.990000E+00
-5.735000E-05,-8.799999E-04,-1.990000E+00
-5.730000E-05,-9.600000E-04,-1.990000E+00
-5.725000E-05,-9.600000E-04,-1.990000E+00
-5.720000E-05,-9.600000E-04,-1.990000E+00
-5.715000E-05,-9.600000E-04,-1.970000E+00
-5.710000E-05,-9.600000E-04,-1.970000E+00
-5.705000E-05,-9.600000E-04,-1.990000E+00
-5.700000E-05,-8.799999E-04,-1.990000E+00
-5.695000E-05,-9.600000E-04,-1.990000E+00
-5.690000E-05,-9.600000E-04,-1.970000E+00
-5.685000E-05,-9.600000E-04,-1.990000E+00
-5.680000E-05,-8.799999E-04,-1.990000E+00
-5.675000E-05,-9.600000E-04,-1.970000E+00
-5.670000E-05,-9.600000E-04,-1.990000E+00
-5.665000E-05,-9.600000E-04,-1.990000E+00
-5.660000E-05,-9.600000E-04,-1.990000E+00
-5.655000E-05,-9.600000E-04,-1.990000E+00
-5.650000E-05,-9.600000E-04,-1.970000E+00
-5.645000E-05,-1.040000E-03,-1.990000E+00
