Record Length,Analog:7000
Sample Interval,CH:0.0000010000000
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:+2.000000E+00 CH2:+2.000000E+00,,,
Vertical Offset,CH1:+0.000000E+00 CH2:+0.000000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,500.0000000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMEBX4R2043,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH2
Second,Volt,Volt
-3.500000E-03,-3.680000E+00,+4.080000E+00
-3.499000E-03,-3.680000E+00,+4.000000E+00
-3.498000E-03,-3.760000E+00,+4.000000E+00
-3.497000E-03,-3.680000E+00,+4.000000E+00
-3.496000E-03,-3.760000E+00,+3.920000E+00
-3.495000E-03,-3.760000E+00,+4.080000E+00
-3.494000E-03,-3.840000E+00,+3.920000E+00
-3.493000E-03,-3.840000E+00,+3.920000E+00
-3.492000E-03,-3.920000E+00,+3.920000E+00
-3.491000E-03,-3.920000E+00,+3.840000E+00
-3.490000E-03,-3.920000E+00,+3.760000E+00
-3.489000E-03,-4.000000E+00,+3.840000E+00
-3.488000E-03,-4.000000E+00,+3.760000E+00
-3.487000E-03,-4.000000E+00,+3.760000E+00
-3.486000E-03,-4.000000E+00,+3.760000E+00
-3.485000E-03,-4.160000E+00,+3.680000E+00
-3.484000E-03,-4.160000E+00,+3.680000E+00
-3.483000E-03,-4.160000E+00,+3.600000E+00
-3.482000E-03,-4.160000E+00,+3.600000E+00
-3.481000E-03,-4.240000E+00,+3.600000E+00
-3.480000E-03,-4.240000E+00,+3.520000E+00
-3.479000E-03,-4.240000E+00,+3.520000E+00
-3.478000E-03,-4.320000E+00,+3.600000E+00
-3.477000E-03,-4.320000E+00,+3.520000E+00
-3.476000E-03,-4.400000E+00,+3.440000E+00
-3.475000E-03,-4.320000E+00,+3.440000E+00
-3.474000E-03,-4.400000E+00,+3.360000E+00
-3.473000E-03,-4.400000E+00,+3.360000E+00
-3.472000E-03,-4.400000E+00,+3.360000E+00
-3.471000E-03,-4.480000E+00,+3.280000E+00
-3.470000E-03,-4.480000E+00,+3.280000E+00
-3.469000E-03,-4.480000E+00,+3.280000E+00
-3.468000E-03,-4.560000E+00,+3.280000E+00
-3.467000E-03,-4.560000E+00,+3.200000E+00
-3.466000E-03,-4.560000E+00,+3.200000E+00
-3.465000E-03,-4.640000E+00,+3.120000E+00
-3.464000E-03,-4.640000E+00,+3.120000E+00
-3.463000E-03,-4.640000E+00,+3.120000E+00
-3.462000E-03,-4.640000E+00,+3.040000E+00
-3.461000E-03,-4.720000E+00,+3.040000E+00
-3.460000E-03,-4.720000E+00,+2.960000E+00
-3.459000E-03,-4.720000E+00,+3.040000E+00
-3.458000E-03,-4.800000E+00,+2.960000E+00
-3.457000E-03,-4.800000E+00,+2.960000E+00
-3.456000E-03,-4.800000E+00,+2.880000E+00
-3.455000E-03,-4.800000E+00,+2.880000E+00
-3.454000E-03,-4.880000E+00,+2.880000E+00
-3.453000E-03,-4.880000E+00,+2.800000E+00
-3.452000E-03,-4.960000E+00,+2.800000E+00
-3.451000E-03,-4.880000E+00,+2.720000E+00
-3.450000E-03,-4.960000E+00,+2.720000E+00
-3.449000E-03,-4.960000E+00,+2.640000E+00
-3.448000E-03,-5.040000E+00,+2.640000E+00
-3.447000E-03,-5.120000E+00,+2.640000E+00
-3.446000E-03,-5.040000E+00,+2.640000E+00
-3.445000E-03,-5.040000E+00,+2.560000E+00
-3.444000E-03,-5.120000E+00,+2.560000E+00
-3.443000E-03,-5.040000E+00,+2.560000E+00
-3.442000E-03,-5.120000E+00,+2.480000E+00
-3.441000E-03,-5.120000E+00,+2.400000E+00
-3.440000E-03,-5.120000E+00,+2.480000E+00
-3.439000E-03,-5.120000E+00,+2.320000E+00
-3.438000E-03,-5.200000E+00,+2.320000E+00
-3.437000E-03,-5.200000E+00,+2.320000E+00
-3.436000E-03,-5.360000E+00,+2.240000E+00
-3.435000E-03,-5.280000E+00,+2.240000E+00
-3.434000E-03,-5.280000E+00,+2.240000E+00
-3.433000E-03,-5.280000E+00,+2.160000E+00
-3.432000E-03,-5.360000E+00,+2.080000E+00
-3.431000E-03,-5.360000E+00,+2.080000E+00
-3.430000E-03,-5.360000E+00,+2.080000E+00
-3.429000E-03,-5.360000E+00,+2.000000E+00
-3.428000E-03,-5.440000E+00,+2.000000E+00
-3.427000E-03,-5.440000E+00,+2.000000E+00
-3.426000E-03,-5.440000E+00,+1.920000E+00
-3.425000E-03,-5.440000E+00,+1.840000E+00
-3.424000E-03,-5.520000E+00,+1.840000E+00
-3.423000E-03,-5.440000E+00,+1.840000E+00
-3.422000E-03,-5.600000E+00,+1.760000E+00
-3.421000E-03,-5.520000E+00,+1.760000E+00
-3.420000E-03,-5.520000E+00,+1.760000E+00
-3.419000E-03,-5.520000E+00,+1.680000E+00
-3.418000E-03,-5.600000E+00,+1.600000E+00
-3.417000E-03,-5.600000E+00,+1.600000E+00
-3.416000E-03,-5.600000E+00,+1.600000E+00
-3.415000E-03,-5.680000E+00,+1.520000E+00
-3.414000E-03,-5.680000E+00,+1.520000E+00
-3.413000E-03,-5.600000E+00,+1.520000E+00
-3.412000E-03,-5.680000E+00,+1.520000E+00
-3.411000E-03,-5.680000E+00,+1.440000E+00
-3.410000E-03,-5.680000E+00,+1.360000E+00
-3.409000E-03,-5.680000E+00,+1.360000E+00
-3.408000E-03,-5.760000E+00,+1.280000E+00
-3.407000E-03,-5.760000E+00,+1.280000E+00
-3.406000E-03,-5.760000E+00,+1.360000E+00
-3.405000E-03,-5.760000E+00,+1.200000E+00
