Vpisna številka,To?ke (max 12)
28181152,5
28201077,8
28201145,6
28201147,9
28211010,11
28211015,10
28211044,8
28221003,8
28221004,10
28221006,9
28221008,1
28221009,10
28221010,10
28221011,9
28221012,6
28221016,11
28221018,4
28221024,10
28221026,10
28221028,3
28221029,10
28221030,8
28221033,9
28221035,11
28221047,10
28221054,8
28221057,11
28221062,9
28221065,11
28221068,7
28221071,11
28221082,12
28221086,9
28221090,12
28221092,11
28221093,12
28221094,6
28221096,7
28221098,12
28221120,10
28221128,10
